YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_ARR_1,DLY_APT_ARR_A_1,DLY_APT_ARR_C_1,DLY_APT_ARR_D_1,DLY_APT_ARR_E_1,DLY_APT_ARR_G_1,DLY_APT_ARR_I_1,DLY_APT_ARR_M_1,DLY_APT_ARR_N_1,DLY_APT_ARR_O_1,DLY_APT_ARR_P_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1,DLY_APT_ARR_T_1,DLY_APT_ARR_V_1,DLY_APT_ARR_W_1,DLY_APT_ARR_NA_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,ATFM_VERSION
2022,1,JAN,1-Jan-2022,EGLL,London/ Heathrow,United Kingdom,366,,,,,,,,,,,,,,,,,,,,v2,London/ Heathrow (EGLL)
2022,1,JAN,1-Jan-2022,LDZA,Zagreb,Croatia,30,,,,,,,,,,,,,,,,,,,,v2,Zagreb (LDZA)
2022,1,JAN,1-Jan-2022,LPMA,Madeira,Portugal,47,,,,,,,,,,,,,,,,,,,,v2,Madeira (LPMA)
2022,1,JAN,1-Jan-2022,LFPN,Toussus-le-Noble,France,7,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,v2,Toussus-le-Noble (LFPN)
2022,1,JAN,1-Jan-2022,EPPO,Poznan - Lawica,Poland,18,,,,,,,,,,,,,,,,,,,,v2,Poznan - Lawica (EPPO)
2022,1,JAN,1-Jan-2022,LHBP,Budapest/ Ferihegy,Hungary,88,,,,,,,,,,,,,,,,,,,,v2,Budapest/ Ferihegy (LHBP)
2022,1,JAN,1-Jan-2022,LIRF,Rome/Fiumicino,Italy,194,,,,,,,,,,,,,,,,,,,,v2,Rome/Fiumicino (LIRF)
2022,1,JAN,1-Jan-2022,LPHR,Horta,Portugal,3,,,,,,,,,,,,,,,,,,,,v2,Horta (LPHR)
2022,1,JAN,1-Jan-2022,LFOK,Châlons-Vatry,France,1,,,,,,,,,,,,,,,,,,,,v2,Châlons-Vatry (LFOK)
2022,1,JAN,1-Jan-2022,GMMN,Casablanca,Morocco,23,,,,,,,,,,,,,,,,,,,,v2,Casablanca (GMMN)
2022,1,JAN,1-Jan-2022,LEJR,Jerez De La Frontera,Spain,5,,,,,,,,,,,,,,,,,,,,v2,Jerez De La Frontera (LEJR)
2022,1,JAN,1-Jan-2022,LIMF,Torino Caselle,Italy,45,,,,,,,,,,,,,,,,,,,,v2,Torino Caselle (LIMF)
2022,1,JAN,1-Jan-2022,LTFM,Istanbul International,Turkey,412,,,,,,,,,,,,,,,,,,,,v2,Istanbul International (LTFM)
2022,1,JAN,1-Jan-2022,LFOT,Tours-Val de Loire,France,2,,,,,,,,,,,,,,,,,,,,v2,Tours-Val de Loire (LFOT)
